order,station,post,lat,long,lat
144,芝浦ふ頭,108-0022,港区海岸３-２２-１２,139.757852,35.641773
145,白金台,108-0071,港区白金台３-２,139.726133,35.637917
146,高輪台,108-0071,港区白金台２-２６-７,139.730305,35.631679
147,白金台,108-0071,港区白金台３-２,139.726133,35.637917
148,品川,108-0074,東京都港区高輪三丁目26-27,139.738999,35.62876
149,品川,108-0074,東京都港区高輪三丁目26-26,139.738999,35.62876
150,品川,108-0074,東京都港区高輪三丁目26-26,139.738999,35.62876
151,品川,108-0074,東京都港区高輪三丁目26-26,139.738999,35.62876
152,品川,108-0074,東京都港区高輪三丁目26-26,139.738999,35.62876
153,泉岳寺,108-0074,港区高輪２-１６-３４,139.74002,35.638692
154,品川,108-0074,東京都港区高輪三丁目26-26,139.73809,35.628284
155,白金高輪,108-0074,港区高輪１-３-２０,139.734104,35.642903
156,泉岳寺,108-0074,港区高輪２-１６-３４,139.74002,35.638692
157,白金高輪,108-0074,港区高輪１-３-２０,139.734104,35.642903
158,鶯谷,110-0003,東京都台東区根岸一丁目4-1,139.778015,35.721484
159,鶯谷,110-0003,東京都台東区根岸一丁目4-1,139.778015,35.721484
160,上野,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
161,御徒町,110-0005,東京都台東区上野五丁目27,139.774727,35.707282
162,上野,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
163,上野,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
164,上野,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
165,上野,110-0005,東京都台東区上野七丁目1-1,139.777043,35.71379
166,御徒町,110-0005,東京都台東区上野五丁目27,139.774727,35.707282
167,上野,110-0005,東京都台東区東上野三丁目19-6,139.777122,35.711482
168,上野広小路,110-0005,台東区上野３-２９-３,139.772877,35.70768
169,上野,110-0005,東京都台東区東上野三丁目19-6,139.777122,35.711482
170,仲御徒町,110-0005,台東区上野５-２４-１２,139.776138,35.706649
171,上野御徒町,110-0005,台東区上野５-２６-６,139.774332,35.707893
172,京成上野,110-0007,東京都台東区上野公園1-60,139.773571,35.711232
173,京成上野,110-0007,東京都台東区上野公園1-60,139.773571,35.711232
174,三ノ輪,110-0011,台東区三ノ輪２-１４-７,139.791485,35.729623
175,入谷,110-0013,台東区入谷１-６-４,139.783924,35.719862
176,稲荷町,110-0015,台東区東上野３-３３-１１,139.782593,35.711273
177,浅草,111-0032,東京都台東区浅草一丁目1-3,139.797592,35.710733
178,浅草,111-0033,東京都台東区花川戸一丁目4-1,139.798214,35.711883
179,田原町,111-0035,台東区西浅草１-１-１８,139.790897,35.709897
180,浅草,111-0035,東京都台東区西浅草三丁目1-11,139.79238900000001,35.713817
181,新御徒町,111-0041,台東区元浅草１-５-２,139.781958,35.707045
